Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.5962643678160919,0.7338638373121131,0.6579468886246531,0.18859265734265734,0.8114073426573427,0.6,powertoys
H3,0.6364532019704433,0.5711759504862953,0.6020503261882572,0.1866258741258741,0.8133741258741258,0.6,powertoys
H3,0.6318732525629077,0.5994694960212201,0.6152450090744103,0.1853146853146853,0.8146853146853147,0.6,powertoys
H3,0.654747225647349,0.46949602122015915,0.5468589083419156,0.19230769230769232,0.8076923076923077,0.6,powertoys
H3,0.5940233236151603,0.7206012378426172,0.6512185377546944,0.19077797202797203,0.8092220279720279,0.6,powertoys
H3,0.6432264736297828,0.5499557913351016,0.5929456625357483,0.1866258741258741,0.8133741258741258,0.6,powertoys
H3,0.6230269266480966,0.5932802829354553,0.6077898550724637,0.18924825174825174,0.8107517482517482,0.6,powertoys
H3,0.6419512195121951,0.5817860300618921,0.6103896103896104,0.18356643356643357,0.8164335664335665,0.6,powertoys
H3,0.6316279069767442,0.6003536693191865,0.6155938349954669,0.1853146853146853,0.8146853146853147,0.6,powertoys
H3,0.5927505330490405,0.7374005305039788,0.657210401891253,0.19012237762237763,0.8098776223776224,0.6,powertoys
