Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
0,0,0,0,1,1,1,0,see issue what it does is propagating the serializing mode of the parent upon each mock creation when deep stubbingbefore each mock created where made serializable by default which is not an issue when the types have a default no arg constructor but may become problematic when the type didnt have one mockito would report an error explaining that it couldnt mock this type
1,0,0,0,1,1,0,0,we modify the signature of argumentcaptorfromclass class to better express the type relationship between the argument and the return type there is no change to the behavior of the method this change is to allow expressions such as javaargumentcaptor captor argumentcaptorfromclass consumerclass to type check which is desirable as a convenience to users of argumentcaptor we also add two tests to document this extension to the api both of which fail to compile without this change to argumentcaptorfromclass these tests are unusual in that they make no assertions this is justified because the change which they test is a change to the formal or compile time properties of argumentcaptor not its behavior
1,0,0,1,1,1,1,0,fixes issue the value returned by the default answer is now validated to make sure there wont be a classcastexception if the default value is incompatible with return typereporter now fetch in safer way the mock name in case the default answer is incorrectly implemented this avoid a classcastexception when reporting a verification issue
1,0,0,1,1,1,1,0,these commits should with capturing varargs
1,0,0,0,1,1,0,0,follow up to
1,1,0,1,1,0,1,0,problem was caused by file separator replacing hardcoded char by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource path method in such case is only acceptable separator
0,0,0,0,0,1,0,0,this should awaiting delivery of bytebuddy fix raphw
1,1,0,1,1,1,1,0,in some recent version of mockito spy annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls unconfirmed at this point this pr aims to fix that by calling real code if interceptor is not set which can only happen if constructorinstanciator is usedthanks to raphw for his tip on this regard as well https githubcom raphw byte buddy issues issuecomment
1,1,0,0,1,1,0,0,very minor typo in documentation an extra at in the documentationbefore it reads annotating the junit test class with a runwith mockitojunitrunnerclass after it reads annotating the junit test class with a runwith mockitojunitrunnerclass https cloudentcom assets c f b e d b c f png
1,0,0,1,1,1,0,0,solves by explicitly checking for return types that represent a generic array and by resolving for the arrays component type
1,0,0,0,1,1,0,0,will null check on mockutilismock was incorrectly removed after successive refactoring this pr reintroduces null check
0,0,0,0,1,1,0,0,it will report in the end the result of multiple statements
1,1,0,1,1,1,1,0,removed deprecated classes and methods
1,1,0,0,1,1,0,0,fixes issue updated code provided by in pr closes
1,0,0,1,1,1,1,0,for class reporter this pr changes the way errors are created and thrown all methods of the reporter are now static so they can be imported statically and return an exception instead of throwing it directly this improves the readability and eliminates the use of hacks to satisfiy the compilerhere is a sample public list getlastvarargs { if argumentsisempty { reporter noargumentvaluewascaptured return null } else { return argumentsgetlast }} the above code snipped can be rewritten to this public list getlastvarargs { if argumentsisempty { throw noargumentvaluewascaptured } return argumentsgetlast }
1,0,0,0,1,1,0,0,refactored invocationmarker to a static utility class
0,0,0,0,0,1,1,0,…inalmethodstestthis worked locally so lets see if this also works on the ci server
0,0,0,1,0,1,1,0,todo add a regression test to also show how this functionality can be used cc smoyer
0,0,0,0,1,1,0,0,to this is the amendment to the argumentmatcher javadoc
0,0,0,1,1,1,0,0,a quick google showed that there are almost zero usages of this runner moreover it was relying on a very hackish implementation i think we can do a better job by creating a new runner with junit as part of therefore the intent is to deprecate these classes and remove them in mockito
1,0,0,1,1,1,0,0,simple git revert for an accidental removal of a deprecated api since instead of x
1,0,0,0,1,1,0,0,this is a breaking change because junit runner will now fail the test class if there is an unused stubbingfeedback is welcome sorry for working on it for a long time and big number of commits
1,0,0,0,1,0,0,0,details is i took the opportunity to replace testbaseassertthat by more powerful assertj equivalent theres still some work to be done in this class add iterable matchersbefore merging i ponder to make anyobject not to accept null currently any is an alias of anyobject keeping the anyobjet behaviour and deprecate the method i need to update anyint family description
1,0,0,0,1,1,0,0,atic utility classes
1,0,0,0,1,0,0,0,follow up on issue following this comment it tweaks the collection matchers with generic support it should have bee in abf
1,0,0,1,1,1,0,0,refactored supertypeslastsorter to a static utility classrelates to
1,0,0,0,1,0,0,0,inlined arrayutilsisempty in argumentsprocessor and removed arrayutils cause it was only used in argumentprocessoralso isempty was renamed to isnullorempty for clarityrelates to
1,0,0,1,1,1,1,0,refactored objectmethodsguru to a static utility class removed unused methods and associated tests istostring mockitomethod method isequalsmethod method method ishashcodemethod method method renamed istostring to istostringmethod relates to
1,0,0,1,1,1,0,0,if a filed is annotated with injectmocks and the type of a field is an enum inner class interface or local class the error message is now _mock injection failed on field fieldname cause the type abstractcollection is an abstract class_
1,1,0,1,1,1,1,0,makes junit rules detect unused stubs introduces mockitolistener api see the use case in issue recreated pr with squashed commits
1,1,0,1,1,1,1,0,makes junit rules detect unused stubs introduces mockitolistener api see the use case in issue recreated pr with squashed commits
1,0,0,1,1,1,0,0,changes npe to iae see
