prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,BugFix for bug "#880 PubMed Import broken" Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
11,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,BugFix for bug "#880 PubMed Import broken" Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
11,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,BugFix for bug "#880 PubMed Import broken" Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the "TY" tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter "MedlinePlain". This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Added special fields Printed and Read status Added special fields Printed and Read status  thereby implementing (at least partially): - Feature #762 Printed attribute - Feature #692 Marking of new entries and often read entries - Feature #685 Highlight new entries that were "forgotten" - Feature #602 could add the mark as read feature - Feature #225 read? checkbox  Printed is just a boolean toggle and for the read field currently the values Skimmed and Read are possible (if you have any suggestions for further possibilities  Im happy to implement them). The icons are taken from http://www.softicons.com/system-icons/crystal-project-icons-by-everaldo-coelho and should probably be replaced with icons from the same collection as the other currently used ones.
137,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Unify and simplify GUI actions - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136 
137,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Unify and simplify GUI actions - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136 
137,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Unify and simplify GUI actions - Using lambdas for the simpler actions - Some code cleanup - Extract String commands as String constants to Actions.java and use the constants in JabRefFrame  BasePanel and RightClickMenu - Use the constants already defined in KeyBinds to get KeyStrokes for the Actions (in JabRefFrame  BasePanel  EntryEditor and RightClickMenu) - 8e3ad9d: Remove Quickfix for [SF.net Bug #1277](https://sourceforge.net/p/jabref/bugs/1277/) and implement feature properly: Instead of Deactivating "Show/Hide Toolbar" when no database is open  the action has been move to JabRefFrame and works now even if no database is open.  see also #136 
143,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Fix SF Bug #1285 Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there.
143,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix SF Bug #1285 Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there.
143,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix SF Bug #1285 Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there.
175,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Increase saving speed Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
175,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,Increase saving speed Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
175,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,Increase saving speed Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
187,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,[WIP] Fix linebreaking Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting?
187,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,[WIP] Fix linebreaking Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting?
187,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,[WIP] Fix linebreaking Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting?
204,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,Added pushing citations to Texmaker Implements SourceForge feature requests #318 and #582.
204,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Added pushing citations to Texmaker Implements SourceForge feature requests #318 and #582.
204,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Added pushing citations to Texmaker Implements SourceForge feature requests #318 and #582.
