Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
1,0,0,1,1,1,0,0,is caused by calling collectionssort with a comparator that isnt always transitive as in the case where sorting by name and sorting by type hierarchy imply different ordersfor example with fields of type iterable integer number it gives iterable integer and iterable number but also an inconsistent integer number im not sure its possible to sort consistently with a stateless comparator so this change switches to a sortsupertypeslast method that first sorts by name and then shuffles any subclasses to after their superclasses its slower but should be deterministic the existing tests are preserved by leaving behind a dummy comparator that uses the new sort method new tests make sure that the sorted ordering doesnt depend on the original order
0,0,0,0,1,0,0,0,it should if user uses mockitoafter or mockitotimeout with negative values then friendly reminder exception with details will be thrown
1,0,0,0,1,1,0,0,follow up to
1,1,0,0,1,1,1,0,remove serializable validation
1,0,0,1,1,1,1,0,this pull request by introducing t getargument int and deprecating t getargumentat intclass in type invocationonmock this improves the readabilty of custom answers this string text invocationgetargumentat stringclass can be replaced string text invocationgetargument
1,0,0,0,1,1,0,0,fixes for more left though
1,0,0,0,1,1,1,0,while refactoring the class handyreturnvalues towards a static utility class i notices that it is not required at all therefore i decided to remove the type handyreturnvalues
1,0,0,1,0,1,0,0,refactored concurrent test in order to the implementation now uses an executor to perform async calls instead of extending thread and doesnt extend testbase anymore i also added a stopwatch which can be used for further time dependent testing in the future i want to use this class to write more tests for after timeout
0,0,0,0,0,1,0,0,as mentioned in the bug report for adds a test which would catch this issue if it happened to regress in the future
0,0,0,0,0,1,0,0,polishing the javadocs starting with this small pr issue updated since to instead added more docs around the verification collector
1,0,0,0,0,1,0,0,new api for rationale see for code review history see java existing api rule public mockitorule mockito mockitojunitrule proposed improvements rule strictness strictnesslenient rule strictness strictnesswarn is the defaultrule strictness strictnessstrict_stubs mockito default what strict stubbing means improved debuggability the test fails early when code under test invokes stubbed method with different arguments cleaner tests without unnecessary stubbings the test fails when there are any unused stubs declared cleaner more dry tests dont repeat yourself if you use mockitoverifynomoreinteractions you no longer need to explicitly verify stubbed invocations they are automatically verifiedfor background and motivation check out szczepans article on linkedin https wwwlinkedincom pulse curious how get even cleaner tests new mockito features faber
1,1,0,1,1,1,1,0,this is both a performance improvement and a way of ensuring that no stack overflow error occurs upon looking up a method instance which requires using a hashmap which causes an infitite loop upon mocking the hash map type
