Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H1,0.5054229934924078,0.3595679012345679,0.42019837691614065,0.3162813575996065,0.6837186424003935,0.4,audacity
H1,0.4682352941176471,0.6141975308641975,0.5313751668891856,0.3453025086079685,0.6546974913920315,0.4,audacity
H1,0.45878524945770066,0.6527777777777778,0.5388535031847134,0.3561239547466798,0.6438760452533202,0.4,audacity
H1,0.39461883408071746,0.5432098765432098,0.4571428571428571,0.411214953271028,0.5887850467289719,0.4,audacity
H1,0.35390946502057613,0.5308641975308642,0.4246913580246913,0.4584358091490408,0.5415641908509592,0.4,audacity
H1,0.38608305274971944,0.5308641975308642,0.44704353476283304,0.41859321200196753,0.5814067879980325,0.4,audacity
H1,0.3079754601226994,0.3873456790123457,0.34313055365686945,0.47270044269552386,0.5272995573044761,0.4,audacity
H1,0.373015873015873,0.3626543209876543,0.36776212832550864,0.397442203639941,0.602557796360059,0.4,audacity
H1,0.4392935982339956,0.6141975308641975,0.5122265122265122,0.37284800787014266,0.6271519921298574,0.4,audacity
H1,0.38904899135446686,0.625,0.47957371225577267,0.4323659616330546,0.5676340383669454,0.4,audacity
